code,scan_date,trade_date,scan_cond,trade_cond,today_rise,rb_score,ret_oc,ret_max,ret_low
341A,2025-11-27,2025-11-28,NORMAL,NORMAL,-6.63,5,1.37,5.22,0.0
341A,2025-12-17,2025-12-18,NORMAL,NORMAL,-4.58,4,-4.41,0.11,-5.64
341A,2025-12-18,2025-12-19,NORMAL,NORMAL,-6.26,7,2.25,3.49,-1.07
341A,2026-02-13,2026-02-16,WEAK,NORMAL,-10.0,3,9.71,10.65,0.0
3422,2026-02-09,2026-02-10,NORMAL,NORMAL,-9.72,5,-1.1,0.44,-3.09
3431,2025-12-01,2025-12-02,WEAK,WEAK,-7.25,7,-1.46,0.32,-1.56
3431,2026-02-16,2026-02-17,NORMAL,NORMAL,-4.02,6,-0.21,0.8,-0.53
3433,2025-11-07,2025-11-10,NORMAL,NORMAL,-11.86,6,1.38,1.47,-0.59
3436,2025-11-05,2025-11-06,WEAK,NORMAL,-8.32,4,-2.26,0.75,-3.45
3436,2025-11-12,2025-11-13,NORMAL,NORMAL,-20.16,10,3.55,4.05,-2.36
3436,2025-11-19,2025-11-20,NORMAL,NORMAL,-6.26,6,-2.95,2.46,-4.02
3436,2026-02-12,2026-02-13,NORMAL,WEAK,-8.47,3,-3.45,0.66,-4.78
343A,2026-02-13,2026-02-16,WEAK,NORMAL,-14.61,5,-11.05,0.0,-16.53
343A,2026-02-16,2026-02-17,NORMAL,NORMAL,-11.11,8,-3.66,0.33,-4.88
3440,2025-10-16,2025-10-17,NORMAL,WEAK,-12.74,8,-2.94,0.0,-2.94
3443,2025-11-12,2025-11-13,NORMAL,NORMAL,-5.84,5,-0.64,1.02,-1.14
3444,2025-12-08,2025-12-09,NORMAL,NORMAL,-8.93,3,19.96,19.96,-0.18
3444,2026-02-09,2026-02-10,NORMAL,NORMAL,-7.74,4,1.95,4.94,-1.15
3444,2026-02-13,2026-02-16,WEAK,NORMAL,-5.98,4,8.19,8.19,0.0
3444,2026-02-24,2026-02-25,NORMAL,NORMAL,-4.41,3,2.69,4.74,-0.38
