code4,name,last_close_yen
3997,トレードワークス,476.0
2411,ゲンダイエージェンシー,477.0
2533,オエノンホールディングス,477.0
6190,フェニックスバイオ,478.0
6578,コレックホールディングス,478.0
3041,ビューティカダンホールディングス,478.0
6155,高松機械工業,479.0
3802,エコミック,480.0
9326,関通,480.0
7775,大研医器,480.0
2999,ホームポジション,481.0
4492,ゼネテック,482.0
8508,Ｊトラスト,482.0
2461,ファンコミュニケーションズ,482.0
2445,タカミヤ,482.0
4531,有機合成薬品工業,483.0
7687,ミクリード,484.0
6819,伊豆シャボテンリゾート,485.0
8095,アステナホールディングス,486.0
6168,ＯＮＥ　ＧＲＯＵＰ,486.0
4840,トライアイズ,487.0
8742,小林洋行,487.0
3134,Ｈａｍｅｅ,488.0
3628,データホライゾン,489.0
2340,極楽湯ホールディングス,489.0
5967,ＴＯＮＥ,489.0
7442,中山福,489.0
6904,原田工業,489.0
2789,カルラ,490.0
6666,リバーエレテック,490.0
9363,大運,490.0
4228,積水化成品工業,492.0
7782,シンシア,493.0
7383,ネットプロテクションズホールディングス,495.0
2982,ＡＤワークスグループ,496.0
7600,日本エム・ディ・エム,497.0
4447,ピー・ビーシステムズ,499.0
2633,ＮＥＸＴ　ＦＵＮＤＳ　Ｓ＆Ｐ　５００　指数（為替ヘッジなし）連動型上場投信,499.5
4378,ＣＩＮＣ,500.0
9243,富士テクノホールディングス,500.0
9240,デリバリーコンサルティング,500.0
5594,エム・デー・ビー,500.0
9239,ケーイーティ,500.0
2404,鉄人化ホールディングス,502.0
3559,ピーバンドットコム,502.0
6040,日本スキー場開発,503.0
3359,ｃｏｔｔａ,503.0
7567,栄電子,503.0
3694,オプティム,505.0
8746,ｕｎｂａｎｋｅｄ,506.0
3987,エコモット,506.0
7777,スリー・ディー・マトリックス,506.0
8260,井筒屋,507.0
3204,トーア紡コーポレーション,510.0
4015,ペイクラウドホールディングス,510.0
5893,ＲＡＶＩＰＡ,510.0
3815,メディア工房,511.0
7071,アンビスホールディングス,512.0
9475,昭文社ホールディングス,512.0
4826,ＣＩＪ,515.0
7868,広済堂ホールディングス,515.0
3896,阿波製紙,515.0
7461,キムラ,515.0
8572,アコム,515.7999877929688
3796,いい生活,516.0
1688,ＷｉｓｄｏｍＴｒｅｅ　穀物上場投資信託,516.0
3261,グランディーズ,517.0
2687,シー・ヴイ・エス・ベイエリア,517.0
4990,昭和化学工業,518.0
5134,ＰＯＰＥＲ,519.0
2796,ファーマライズホールディングス,519.0
9835,ジュンテンドー,520.0
6335,東京機械製作所,522.0
7060,ギークス,522.0
7844,マーベラス,522.0
2300,きょくとう,523.0
4284,ソルクシーズ,523.0
4350,メディカルシステムネットワーク,524.0
2170,リンクアンドモチベーション,525.0
6535,アイモバイル,527.0
2567,ＮＺＡＭ　上場投信　Ｓ＆Ｐ／ＪＰＸカーボン・エフィシェント指数,528.2000122070312
3826,システムインテグレータ,529.0
1726,ビーアールホールディングス,529.0
7351,グッドパッチ,529.0
2497,ユナイテッド,529.0
8291,日産東京販売ホールディングス,531.0
3744,サイオス,531.0
2485,ティア,532.0
3904,カヤック,532.0
7034,プロレド・パートナーズ,533.0
5248,テクノロジーズ,534.0
6635,大日光・エンジニアリング,534.0
9168,ライズ・コンサルティング・グループ,536.0
6165,パンチ工業,536.0
3968,セグエグループ,539.0
7896,セブン工業,539.0
3461,パルマ,541.0
8135,ゼット,541.0
3988,ＳＹＳホールディングス,545.0
7044,ピアラ,547.0
7743,シード,547.0
6840,ＡＫＩＢＡホールディングス,548.0
9223,ＡＳＮＯＶＡ,548.0
9878,セキド,549.0
6218,エンシュウ,549.0
1994,高橋カーテンウォール工業,550.0
3939,カナミックネットワーク,550.0
3798,ＵＬＳグループ,552.0
9788,ナック,553.0
7244,市光工業,553.0
6888,アクモス,553.0
4059,まぐまぐ,554.0
3992,ニーズウェル,554.0
6074,ジェイエスエス,555.0
6182,メタリアル,555.0
8515,アイフル,556.0
4198,テンダ,556.0
7161,じもとホールディングス,556.0
9831,ヤマダホールディングス,556.5999755859375
4381,ビープラッツ,557.0
2437,Ｓｈｉｎｗａ　Ｗｉｓｅ　Ｈｏｌｄｉｎｇｓ,558.0
6094,フリークアウト・ホールディングス,558.0
7544,スリーエフ,560.0
9149,大友ロジスティクスサービス,560.0
8226,理経,561.0
7593,ＶＴホールディングス,562.0
8617,光世証券,563.0
1685,ＷｉｓｄｏｍＴｒｅｅ　エネルギー上場投資信託,563.5999755859375
4073,ジィ・シィ企画,565.0
7111,ＩＮＥＳＴ,565.0
4490,ビザスク,567.0
2112,塩水港精糖,568.0
4420,イーソル,568.0
3195,ジェネレーションパス,568.0
4005,住友化学,569.5999755859375
5973,トーアミ,570.0
5942,日本フイルコン,570.0
6047,Ｇｕｎｏｓｙ,571.0
9445,フォーバルテレコム,571.0
6217,津田駒工業,571.0
3242,アーバネットコーポレーション,572.0
3190,ホットマン,572.0
3690,イルグルム,574.0
7369,メイホーホールディングス,574.0
6184,鎌倉新書,575.0
3974,ＳＣＡＴ,576.0
2516,東証グロース２５０ＥＴＦ,577.0
7455,パリミキホールディングス,577.0
3160,大光,578.0
3958,笹徳印刷,578.0
1850,南海辰村建設,579.0
3474,Ｇ－ＦＡＣＴＯＲＹ,580.0
6440,ＪＵＫＩ,580.0
3232,三重交通グループホールディングス,585.0
1446,キャンディル,586.0
3856,Ａｂａｌａｎｃｅ,591.0
3963,シンクロ・フード,591.0
7774,ジャパン・ティッシュエンジニアリング,594.0
3241,ウィル,596.0
7462,ＣＡＰＩＴＡ,597.0
3710,ジョルダン,598.0
7093,アディッシュ,599.0
8127,ヤマトインターナショナル,600.0
2649,ｉシェアーズ　米国政府系機関ジニーメイＭＢＳ　ＥＴＦ（為替ヘッジあり）,602.5999755859375
1579,日経平均ブル２倍上場投信,602.5999755859375
7031,インバウンドテック,603.0
1418,インターライフホールディングス,603.0
4178,Ｓｈａｒｉｎｇ　Ｉｎｎｏｖａｔｉｏｎｓ,604.0
7038,フロンティア・マネジメント,605.0
2418,ツカダ・グローバルホールディング,605.0
9656,グリーンランドリゾート,606.0
4750,ダイサン,607.0
7987,ナカバヤシ,609.0
8104,クワザワホールディングス,610.0
6778,アルチザネットワークス,611.0
7928,旭化学工業,611.0
5202,日本板硝子,611.0
5363,東京窯業,614.0
9341,ＧＥＮＯＶＡ,615.0
3174,ハピネス・アンド・ディ,615.0
3622,ネットイヤーグループ,617.0
6699,ダイヤモンドエレクトリックホールディングス,618.0
1844,大盛工業,618.0
6962,大真空,618.0
3768,リスクモンスター,619.0
7939,研創,619.0
2736,フェスタリアホールディングス,619.0
6958,日本シイエムケイ,620.0
7399,ナンシン,622.0
3917,アイリッジ,622.0
3839,ＯＤＫソリューションズ,624.0
4736,日本ラッド,624.0
3673,ブロードリーフ,624.0
7352,ＴＷＯＳＴＯＮＥ＆Ｓｏｎｓ,624.0
