verify_date,scan_date,code,name,score,ratio,morning_judgment,open_price,close_price,result_pct,grade,is_top20,market_condition,high_price,max_rise_pct,day1_pct,day2_pct,day3_pct,day4_pct,day5_pct,max_ret_5d,max_ret_day,exit_reason,exit_day,exit_pct
2026-03-18,2026-03-17,3653,モルフォ,8.3,6.89,BUY,677.0,674.0,-0.44,FLAT,0,WEAK,685.0,1.18,-0.44,-3.4,-5.91,-5.91,-5.47,-0.44,1,損切り-5%,3,-5.91
2026-03-18,2026-03-17,7183,あんしん保証,8.09,6.27,BUY,211.0,214.0,1.42,B,0,WEAK,217.0,2.84,1.42,0.47,-0.95,-0.95,-7.58,1.42,1,損切り-5%,5,-7.58
2026-03-18,2026-03-17,6387,サムコ,7.88,5.64,PASS,7360.0,7540.0,2.45,B,0,WEAK,7710.0,4.76,2.45,4.48,-2.17,-2.17,9.38,9.38,5,利確+3%,2,4.48
2026-03-18,2026-03-17,212A,フィットイージー,7.8,5.41,BUY,2361.0,2361.0,0.0,FLAT,0,WEAK,2389.0,1.19,0.0,-3.56,-6.4,-6.4,-4.49,0.0,1,損切り-5%,3,-6.4
2026-03-18,2026-03-17,5889,Ｊａｐａｎ　Ｅｙｅｗｅａｒ　Ｈｏｌｄｉｎｇｓ,7.61,4.84,BUY,2065.0,2095.0,1.45,FLAT,0,WEAK,2095.0,1.45,1.45,0.53,-1.69,-1.69,-0.44,1.45,1,引け(day5),5,-0.44
2026-03-18,2026-03-17,4369,トリケミカル研究所,7.6,4.81,BUY,2757.0,2757.0,0.0,FLAT,0,WEAK,2767.0,0.36,0.0,-4.17,-5.66,-5.66,-2.18,0.0,1,損切り-5%,3,-5.66
2026-03-18,2026-03-17,3193,エターナルホスピタリティグループ,7.59,4.76,BUY,3240.0,3315.0,2.31,B,0,WEAK,3315.0,2.31,2.31,2.47,-0.31,-0.31,4.01,4.01,5,利確+3%,5,4.01
2026-03-18,2026-03-17,2929,ファーマフーズ,7.57,4.71,BUY,675.0,703.0,4.15,B,0,WEAK,704.0,4.3,4.15,-1.04,-4.0,-4.0,0.0,4.15,1,利確+3%,1,4.15
2026-03-18,2026-03-17,5352,黒崎播磨,7.54,5.3,BUY,4185.0,4180.0,-0.12,FLAT,0,WEAK,4185.0,0.0,-0.12,-0.12,0.0,0.0,0.0,0.0,3,引け(day5),5,0.0
2026-03-18,2026-03-17,7110,クラシコム,7.53,4.58,BUY,2016.0,2075.0,2.93,B,0,WEAK,2080.0,3.17,2.93,-0.05,-1.64,-1.64,-2.03,2.93,1,引け(day5),5,-2.03
2026-03-18,2026-03-17,1429,日本アクア,7.27,3.8,PASS,746.0,757.0,1.47,FLAT,0,WEAK,759.0,1.74,1.47,-2.68,-5.23,-5.23,-4.83,1.47,1,損切り-5%,3,-5.23
2026-03-18,2026-03-17,2695,くら寿司,7.17,3.51,PASS,3485.0,3570.0,2.44,B,0,WEAK,3570.0,2.44,2.44,1.0,-3.44,-3.44,-1.15,2.44,1,引け(day5),5,-1.15
2026-03-18,2026-03-17,4025,多木化学,7.08,3.23,PASS,4370.0,4515.0,3.32,B,0,WEAK,4555.0,4.23,3.32,1.14,6.06,6.06,3.09,6.06,3,利確+3%,1,3.32
2026-03-18,2026-03-17,4422,ＶＡＬＵＥＮＥＸ,7.04,3.12,PASS,467.0,515.0,10.28,S,1,WEAK,515.0,10.28,10.28,1.71,-5.35,-5.35,11.78,11.78,5,利確+3%,1,10.28
2026-03-19,2026-03-18,5603,虹技,10.0,17.21,CAUTION,1570.0,1590.0,1.27,FLAT,0,NORMAL,1598.0,1.78,1.27,-6.31,-6.31,-7.52,-6.62,1.27,1,損切り-5%,2,-6.31
2026-03-19,2026-03-18,4422,ＶＡＬＵＥＮＥＸ,8.34,7.02,BUY,555.0,475.0,-14.41,FLAT,0,NORMAL,558.0,0.54,-14.41,-20.36,-20.36,-5.95,2.88,2.88,5,損切り-5%,1,-14.41
2026-03-19,2026-03-18,9235,売れるネット広告社グループ,8.31,6.92,BUY,544.0,530.0,-2.57,FLAT,0,NORMAL,544.0,0.0,-2.57,-6.62,-6.62,11.76,30.15,30.15,5,損切り-5%,2,-6.62
2026-03-19,2026-03-18,6955,ＦＤＫ,8.21,6.64,BUY,493.0,503.0,2.03,A,0,NORMAL,527.0,6.9,2.03,-4.46,-4.46,-3.45,-0.61,2.03,1,引け(day5),5,-0.61
2026-03-19,2026-03-18,4888,ステラファーマ,8.09,6.28,BUY,550.0,605.0,10.0,S,1,NORMAL,646.0,17.45,10.0,28.18,28.18,55.45,52.73,55.45,4,利確+3%,1,10.0
